Sexo;Edad;Nivel de formación alcanzado;Periodo;Total
Ambos sexos;Total;Total;2023;12,11
Ambos sexos;Total;Total;2022;12,92
Ambos sexos;Total;Total;2021;14,78
Ambos sexos;Total;Analfabetos;2023;36,68
Ambos sexos;Total;Analfabetos;2022;33,39
Ambos sexos;Total;Analfabetos;2021;33,82
Ambos sexos;Total;Estudios primarios incompletos;2023;22,12
Ambos sexos;Total;Estudios primarios incompletos;2022;24,64
Ambos sexos;Total;Estudios primarios incompletos;2021;28,91
Ambos sexos;Total;Educación primaria;2023;25,52
Ambos sexos;Total;Educación primaria;2022;26,58
Ambos sexos;Total;Educación primaria;2021;26,81
Ambos sexos;Total;Primera etapa de educación secundaria y similar;2023;16,36
Ambos sexos;Total;Primera etapa de educación secundaria y similar;2022;17,83
Ambos sexos;Total;Primera etapa de educación secundaria y similar;2021;20,07
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2023;13,18
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2022;14,23
Ambos sexos;Total;Segunda etapa de educación secundaria, con orientación general;2021;16,05
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2023;13,28
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;13,84
Ambos sexos;Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;16,08
Ambos sexos;Total;Educación superior;2023;7,34
Ambos sexos;Total;Educación superior;2022;7,62
Ambos sexos;Total;Educación superior;2021;9,21
Ambos sexos;De 16 a 19 años;Total;2023;42,87
Ambos sexos;De 16 a 19 años;Total;2022;45,88
Ambos sexos;De 16 a 19 años;Total;2021;50,83
Ambos sexos;De 16 a 19 años;Analfabetos;2023;..
Ambos sexos;De 16 a 19 años;Analfabetos;2022;0
Ambos sexos;De 16 a 19 años;Analfabetos;2021;0
Ambos sexos;De 16 a 19 años;Estudios primarios incompletos;2023;32,08
Ambos sexos;De 16 a 19 años;Estudios primarios incompletos;2022;39,22
Ambos sexos;De 16 a 19 años;Estudios primarios incompletos;2021;75,38
Ambos sexos;De 16 a 19 años;Educación primaria;2023;68,43
Ambos sexos;De 16 a 19 años;Educación primaria;2022;65,42
Ambos sexos;De 16 a 19 años;Educación primaria;2021;61,61
Ambos sexos;De 16 a 19 años;Primera etapa de educación secundaria y similar;2023;45,65
